Date,close,open,high,low,涨跌幅,volume,Ticker,Return,Volatility,Volume_MA20,Volume_Ratio,Overreaction,Herding,LossAversion,Disposition,Vol_lag1
2023-08-15,177.45,178.88,179.48,177.05,-1.12%,43620000.0,AAPL,-0.011200267469073988,0.2109390638068509,58027500.0,0.7517125500840119,0.0,-0.2,0.0,-0.7517125500840119,0.2095562915865159
2023-08-16,176.57,177.13,178.54,176.5,-0.50%,46960000.0,AAPL,-0.004959143420681822,0.20662030759465297,56350000.0,0.833362910381544,0.0,-0.2,0.3224828141371645,-0.833362910381544,0.2109390638068509
2023-08-17,174.0,177.14,177.51,173.48,-1.46%,66060000.0,AAPL,-0.014555133941213105,0.20870428080931008,56674000.0,1.16561386173554,0.0,-0.2,0.3232932656860352,-1.16561386173554,0.20662030759465297
2023-08-18,174.49,172.3,175.1,171.96,0.28%,61170000.0,AAPL,0.0028160919540229923,0.2105338882261886,56135000.0,1.0896944865057452,0.0,-0.1,0.0,1.0896944865057452,0.20870428080931008
2023-08-21,175.84,175.07,176.13,173.74,0.77%,46310000.0,AAPL,0.007736833056335657,0.21286052532939082,56175000.0,0.8243880729862039,0.0,-0.1,0.0,0.8243880729862039,0.2105338882261886
2023-08-22,177.23,177.06,177.68,176.25,0.79%,42080000.0,AAPL,0.00790491355777978,0.21509247042559265,56415000.0,0.7459009128777807,0.0,-0.1,0.0,0.7459009128777807,0.21286052532939082
2023-08-23,181.12,178.52,181.55,178.32,2.19%,52720000.0,AAPL,0.021948879986458447,0.2327566010156026,56677500.0,0.9301751135812271,0.0,-0.1,0.0,0.9301751135812271,0.21509247042559265
2023-08-24,176.38,180.67,181.1,176.01,-2.62%,54950000.0,AAPL,-0.026170494699646718,0.24624371765804245,57052000.0,0.9631564187057421,-0.002807180702437647,-0.1,0.0,-0.9631564187057421,0.2327566010156026
2023-08-25,178.61,177.38,179.15,175.82,1.26%,51450000.0,AAPL,0.012643156820501211,0.24542584033076348,57210000.0,0.8993183009963294,-0.002807180702437647,-0.1,0.0,0.8993183009963294,0.24624371765804245
2023-08-28,180.19,180.09,180.59,178.54,0.88%,43820000.0,AAPL,0.008846089244723077,0.24857965381234864,57460000.0,0.7626174730247128,-0.002807180702437647,-0.1,0.0,0.7626174730247128,0.24542584033076348
2023-08-29,184.12,179.7,184.9,179.5,2.18%,53000000.0,AAPL,0.02181031133803213,0.26515332350804416,58346000.0,0.9083741816062798,0.0,-0.2,0.0,0.9083741816062798,0.24857965381234864
2023-08-30,187.65,184.94,187.85,184.74,1.92%,60810000.0,AAPL,0.01917227894851181,0.27179876261266367,58867000.0,1.0330066081166018,0.0,-0.2,0.0,1.0330066081166018,0.26515332350804416
2023-08-31,187.87,187.84,189.12,187.48,0.12%,60790000.0,AAPL,0.0011723954169997608,0.27091359171158,58794500.0,1.0339402495131347,0.0,-0.1,0.0,1.0339402495131347,0.27179876261266367
2023-09-01,189.46,189.49,189.92,188.28,0.85%,45770000.0,AAPL,0.00846329908979615,0.20673311263088565,55285000.0,0.8278918332278195,0.0,-0.1,0.0,0.8278918332278195,0.27091359171158
2023-09-05,189.7,188.28,189.98,187.61,0.13%,45280000.0,AAPL,0.0012667581547554096,0.193792025243932,52670000.0,0.859692424530093,0.0,-0.1,0.0,0.859692424530093,0.20673311263088565
2023-09-06,182.91,188.4,188.85,181.47,-3.58%,81760000.0,AAPL,-0.035793357933579295,0.23737282956038733,53367000.0,1.5320329042292054,0.02125865246213014,-0.2,0.0,-1.5320329042292054,0.193792025243932
2023-09-07,177.56,175.18,178.21,173.54,-2.92%,112490000.0,AAPL,-0.02924935760756653,0.25860317647692305,55972500.0,2.0097369243825094,0.04177563183339587,-0.2,0.39874846270546094,-2.0097369243825094,0.23737282956038733
2023-09-08,178.18,178.35,180.24,177.79,0.35%,65599999.99999999,AAPL,0.00349177742734863,0.2588600956550416,56518000.0,1.1606921688665557,0.04177563183339587,-0.2,0.0,1.1606921688665557,0.25860317647692305
2023-09-11,179.36,180.07,180.3,177.34,0.66%,58950000.0,AAPL,0.0066225165562914245,0.25980818657273674,56863500.0,1.0366931335566751,0.02051697937126573,-0.2,0.0,1.0366931335566751,0.2588600956550416
2023-09-12,176.3,179.49,180.13,174.82,-1.71%,90370000.0,AAPL,-0.017060660124888494,0.26481136166821706,59198000.0,1.5265718436433664,0.0,-0.2,0.0,-1.5265718436433664,0.25980818657273674
